244,Бекар №22-2 ПГ 800 шпон дуба (-/2),4607099419124
286,Бекар №22-2 ПГ 800 шпон дуба тонированный (-/2),4607099418783
259,Бекар №22-2 ПГ 900 шпон березы тонированный (-/2),4607099418974
277,Бекар №22-2 ПГ 900 шпон бука (-/5),4607099418875
245,Бекар №22-2 ПГ 900 шпон дуба (-/2),4607099419117
287,Бекар №22-2 ПГ 900 шпон дуба тонированный (-/2),4607099418776
260,Бекар №22-2 ПО 600 шпон березы тонированный (2/2),4607099418967
278,Бекар №22-2 ПО 600 шпон бука (5/5),4607099418868
246,Бекар №22-2 ПО 600 шпон дуба (2/2),4607099419100
288,Бекар №22-2 ПО 600 шпон дуба тонированный (2/2),4607099418769
261,Бекар №22-2 ПО 700 шпон березы тонированный (2/2),4607099418950
279,Бекар №22-2 ПО 700 шпон бука (5/5),4607099418851
247,Бекар №22-2 ПО 700 шпон дуба (2/2),4607099419094
289,Бекар №22-2 ПО 700 шпон дуба тонированный (2/2),4607099418752
262,Бекар №22-2 ПО 800 шпон березы тонированный (2/2),4607099418943
280,Бекар №22-2 ПО 800 шпон бука (5/5),4607099418844
248,Бекар №22-2 ПО 800 шпон дуба (2/2),4607099419087
290,Бекар №22-2 ПО 800 шпон дуба тонированный (2/2),4607099418745
263,Бекар №22-2 ПО 900 шпон березы тонированный (2/2),4607099418936
281,Бекар №22-2 ПО 900 шпон бука (5/5),4607099418837
249,Бекар №22-2 ПО 900 шпон дуба (2/2),4607099419070
291,Бекар №22-2 ПО 900 шпон дуба тонированный (2/2),4607099418738
250,Бекар №22-2 ПО п/о 600 шпон дуба (2/2),4607099419063
251,Бекар №22-2 ПО п/о 700 шпон дуба (2/2),4607099419056
252,Бекар №22-2 ПО п/о 800 шпон дуба (2/2),4607099419049
253,Бекар №22-2 ПО п/о 900 шпон дуба (2/2),4607099419032
311,Берлин -Сити  ПГ  550 укороченное шпон  венге (-/-),4607158468797
321,Берлин -Сити  ПГ  550 укороченное шпон вишня (-/-),4607158468803
323,Берлин -Сити  ПГ  600  шпон вишня (-/-),4607158468872
333,Берлин -Сити  ПГ  600  шпон дуб белёный (-/-),4607158468827
343,Берлин -Сити  ПГ  600  шпон орех (-/-),4607158468971
312,Берлин -Сити  ПГ  600 укороченное шпон  венге (-/-),4603636003429
322,Берлин -Сити  ПГ  600 укороченное шпон вишня (-/-),4607158468841
313,Берлин -Сити  ПГ  600 шпон  венге (-/-),4607158468865
324,Берлин -Сити  ПГ  700  шпон вишня (-/-),4607158468902
334,Берлин -Сити  ПГ  700  шпон дуб белёный (-/-),4607158468889
344,Берлин -Сити  ПГ  700  шпон орех (-/-),4607158468988
314,Берлин -Сити  ПГ  700 шпон  венге (-/-),4607158468896
325,Берлин -Сити  ПГ  800  шпон вишня (-/-),4607158468933
